Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
62015,1261,51885,1599,53,17,181,76978,2,2,78,206,39,39,39,0,103,103,103,0,3689.365793,51.96289849,25659.33333,44436.34082,76970,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,25.98144925,25.98144925,39,103,64.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,80.75,39,103,0,0,0,0,0,0,2,78,2,206,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
58525,1261,16641,1599,53,17,181,78120,2,2,78,206,39,39,39,0,103,103,103,0,3635.432668,51.20327701,26040,45096.54085,78113,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,25.6016385,25.6016385,39,103,64.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,80.75,39,103,0,0,0,0,0,0,2,78,2,206,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
33764,1256,15954,1599,53,17,181,205,2,2,64,158,32,32,32,0,79,79,79,0,1082926.829,19512.19512,68.33333333,83.53043358,163,5,37,37,0,37,37,5,5,0,5,5,0,0,0,0,64,64,9756.097561,9756.097561,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
33749,1256,15744,1599,53,17,181,169,2,2,102,224,51,51,51,0,112,112,112,0,1928994.083,23668.63905,56.33333333,91.51138363,162,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,40,11834.31953,11834.31953,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
34500,1256,28467,1599,53,17,181,297,2,2,102,224,51,51,51,0,112,112,112,0,1097643.098,13468.01347,99,90.4157066,184,4,4,4,0,4,4,184,184,0,184,184,0,0,0,0,64,64,6734.006734,6734.006734,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
36411,1256,60422,1599,53,17,181,164,2,2,64,158,32,32,32,0,79,79,79,0,1353658.537,24390.2439,54.66666667,88.65852093,157,1,1,1,0,1,1,6,6,0,6,6,0,0,0,0,64,64,12195.12195,12195.12195,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
41742,1258,49412,1599,135,6,182,23241857,23,14,2054,2128,168,0,89.30434783,82.66385094,268,0,152,78.54053339,179.9339872,1.59195541,645607.1389,2317541.899,11800000,3,23200000,1056448.045,2914956.272,11800000,3,11300000,872615.4615,2123884.063,5965294,3,0,0,0,0,484,304,0.989593904,0.602361507,0,268,110.0526316,86.55132749,7491.13229,0,0,0,1,0,0,0,0,0,113.027027,89.30434783,152,0,0,0,0,0,0,23,2054,14,2128,8192,2049,21,20,81819.5,32278.71745,104644,58995,5590125.5,446760.671,5906033,5274218,BENIGN
75605,1263,88,1603,49175,6,182,2,3,0,18,0,6,6,6,0,0,0,0,0,9000000,1500000,1,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,60,0,1500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,8,6,0,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
71450,1267,52360,1599,389,17,182,114,2,2,414,326,207,207,207,0,163,163,163,0,6491228.07,35087.7193,38,59.75784467,107,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,17543.85965,17543.85965,163,207,189.4,24.09979253,580.8,0,0,0,0,0,0,0,0,1,236.75,207,163,0,0,0,0,0,0,2,414,2,326,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
69780,1265,58702,1599,53,17,182,165,2,2,102,224,51,51,51,0,112,112,112,0,1975757.576,24242.42424,55,55.24490927,113,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,40,40,12121.21212,12121.21212,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,0,0,0,0,0,0,2,102,2,224,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49745,1258,49438,1599,88,6,182,501,7,4,2828,2868,1405,0,404,683.8184457,1434,0,717,827.920286,11400000,21956.08782,50.1,88.35842411,296,1,501,83.5,134.0772166,353,1,456,152,179.2679559,359,48,0,0,0,0,164,104,13972.05589,7984.031936,0,1434,474.6666667,697.8648389,487015.3333,0,0,0,1,0,0,0,0,0,517.8181818,404,717,0,0,0,0,0,0,7,2828,4,2868,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
75608,1267,49181,1599,88,6,182,943,9,6,3108,3004,1539,0,345.3333333,676.7501385,1496,0,500.6666667,770.9865541,6481442.206,15906.68081,67.35714286,185.3867505,708,1,943,117.875,284.7602688,820,1,899,179.8,296.9456179,708,3,0,0,0,0,204,144,9544.008484,6362.672322,0,1539,382,677.177574,458569.4667,0,0,0,1,0,0,0,0,0,407.4666667,345.3333333,500.6666667,0,0,0,0,0,0,9,3108,6,3004,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
71459,1263,445,1603,49155,6,182,65,3,2,18,12,6,6,6,0,6,6,6,0,461538.4615,76923.07692,16.25,22.5,49,1,51,25.5,33.23401872,49,2,1,1,0,1,1,0,0,0,0,60,40,46153.84615,30769.23077,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,6,0,0,0,0,0,0,3,18,2,12,2049,0,2,20,0,0,0,0,0,0,0,0,BENIGN
75683,1268,1029,1599,49671,6,182,26261439,21,14,3720,2672,936,0,177.1428571,268.1367721,952,0,190.8571429,324.9593719,243.3986957,1.332752558,772395.2647,4284719.637,25000000,1,26300000,1313071.95,5580239.795,25000000,1,1044685,80360.38462,289278.1241,1043136,1,0,0,0,0,444,304,0.799651535,0.533101023,0,952,177.5555556,285.0932123,81278.13968,0,0,0,1,0,0,0,0,0,182.6285714,177.1428571,190.8571429,0,0,0,0,0,0,21,3720,14,2672,8192,2053,19,20,0,0,0,0,0,0,0,0,BENIGN
66628,1264,55851,1599,53,17,182,208,2,2,142,242,71,71,71,0,121,121,121,0,1846153.846,19230.76923,69.33333333,78.50053078,156,3,49,49,0,49,49,3,3,0,3,3,0,0,0,0,40,40,9615.384615,9615.384615,71,121,91,27.38612788,750,0,0,0,0,0,0,0,0,1,113.75,71,121,0,0,0,0,0,0,2,142,2,242,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
78310,1268,57862,1599,53,17,182,217,2,2,162,262,81,81,81,0,131,131,131,0,1953917.051,18433.17972,72.33333333,40.41451884,119,49,49,49,0,49,49,49,49,0,49,49,0,0,0,0,40,40,9216.589862,9216.589862,81,131,101,27.38612788,750,0,0,0,0,0,0,0,0,1,126.25,81,131,0,0,0,0,0,0,2,162,2,262,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
71460,1263,445,1603,49173,6,182,65,1,2,6,12,6,6,6,0,6,6,6,0,276923.0769,46153.84615,32.5,24.74873734,50,15,0,0,0,0,0,50,50,0,50,50,0,0,0,0,20,40,15384.61538,30769.23077,6,6,6,0,0,0,0,0,0,1,0,0,0,2,8,6,6,0,0,0,0,0,0,1,6,2,12,2049,0,0,20,0,0,0,0,0,0,0,0,BENIGN
13840,1263,60732,1590,53,17,182,558,1,1,47,108,47,47,47,0,108,108,108,0,277777.7778,3584.229391,558,0,558,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1792.114695,1792.114695,47,108,67.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,101,47,108,0,0,0,0,0,0,1,47,1,108,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
